"deb_sem";"code";"sites";"occurence";"East";"South";"High_land";"Fringe";"excepted_East";"excepted_High_land";"weeks";"years"
"2015-04-13";"2015_16";"abv";3;NA;1;NA;NA;1;1;16;2015
"2016-04-18";"2016_16";"abv";4;NA;1;NA;NA;1;1;16;2016
"2007-04-23";"2007_17";"abv";NA;NA;1;NA;NA;1;1;17;2007
"2008-04-21";"2008_17";"abv";NA;NA;1;NA;NA;1;1;17;2008
"2009-04-20";"2009_17";"abv";NA;NA;1;NA;NA;1;1;17;2009
"2010-04-26";"2010_17";"abv";2;NA;1;NA;NA;1;1;17;2010
"2011-04-25";"2011_17";"abv";0;NA;1;NA;NA;1;1;17;2011
"2012-04-23";"2012_17";"abv";1;NA;1;NA;NA;1;1;17;2012
"2013-04-22";"2013_17";"abv";3;NA;1;NA;NA;1;1;17;2013
"2014-04-21";"2014_17";"abv";1;NA;1;NA;NA;1;1;17;2014
"2015-04-20";"2015_17";"abv";4;NA;1;NA;NA;1;1;17;2015
"2016-04-25";"2016_17";"abv";4;NA;1;NA;NA;1;1;17;2016
"2007-04-30";"2007_18";"abv";NA;NA;1;NA;NA;1;1;18;2007
"2008-04-28";"2008_18";"abv";NA;NA;1;NA;NA;1;1;18;2008
"2009-04-27";"2009_18";"abv";NA;NA;1;NA;NA;1;1;18;2009
"2010-05-03";"2010_18";"abv";0;NA;1;NA;NA;1;1;18;2010
"2011-05-02";"2011_18";"abv";1;NA;1;NA;NA;1;1;18;2011
"2012-04-30";"2012_18";"abv";0;NA;1;NA;NA;1;1;18;2012
"2013-04-29";"2013_18";"abv";1;NA;1;NA;NA;1;1;18;2013
"2014-04-28";"2014_18";"abv";NA;NA;1;NA;NA;1;1;18;2014
"2015-04-27";"2015_18";"abv";9;NA;1;NA;NA;1;1;18;2015
"2016-05-02";"2016_18";"abv";NA;NA;1;NA;NA;1;1;18;2016
"2007-05-07";"2007_19";"abv";NA;NA;1;NA;NA;1;1;19;2007
"2008-05-05";"2008_19";"abv";NA;NA;1;NA;NA;1;1;19;2008
"2009-05-04";"2009_19";"abv";NA;NA;1;NA;NA;1;1;19;2009
"2010-05-10";"2010_19";"abv";0;NA;1;NA;NA;1;1;19;2010
"2011-05-09";"2011_19";"abv";2;NA;1;NA;NA;1;1;19;2011
"2012-05-07";"2012_19";"abv";6;NA;1;NA;NA;1;1;19;2012
"2013-05-06";"2013_19";"abv";10;NA;1;NA;NA;1;1;19;2013
"2014-05-05";"2014_19";"abv";12;NA;1;NA;NA;1;1;19;2014
"2015-05-04";"2015_19";"abv";3;NA;1;NA;NA;1;1;19;2015
"2016-05-09";"2016_19";"abv";3;NA;1;NA;NA;1;1;19;2016
"2007-05-14";"2007_20";"abv";NA;NA;1;NA;NA;1;1;20;2007
"2008-05-12";"2008_20";"abv";NA;NA;1;NA;NA;1;1;20;2008
"2009-05-11";"2009_20";"abv";NA;NA;1;NA;NA;1;1;20;2009
"2010-05-17";"2010_20";"abv";3;NA;1;NA;NA;1;1;20;2010
"2011-05-16";"2011_20";"abv";1;NA;1;NA;NA;1;1;20;2011
"2012-05-14";"2012_20";"abv";5;NA;1;NA;NA;1;1;20;2012
"2013-05-13";"2013_20";"abv";0;NA;1;NA;NA;1;1;20;2013
"2014-05-12";"2014_20";"abv";6;NA;1;NA;NA;1;1;20;2014
"2015-05-11";"2015_20";"abv";5;NA;1;NA;NA;1;1;20;2015
"2016-05-16";"2016_20";"abv";4;NA;1;NA;NA;1;1;20;2016
"2007-05-21";"2007_21";"abv";NA;NA;1;NA;NA;1;1;21;2007
"2008-05-19";"2008_21";"abv";NA;NA;1;NA;NA;1;1;21;2008
"2009-05-18";"2009_21";"abv";NA;NA;1;NA;NA;1;1;21;2009
"2010-05-24";"2010_21";"abv";0;NA;1;NA;NA;1;1;21;2010
"2011-05-23";"2011_21";"abv";3;NA;1;NA;NA;1;1;21;2011
"2012-05-21";"2012_21";"abv";7;NA;1;NA;NA;1;1;21;2012
"2013-05-20";"2013_21";"abv";0;NA;1;NA;NA;1;1;21;2013
"2014-05-19";"2014_21";"abv";0;NA;1;NA;NA;1;1;21;2014
"2015-05-18";"2015_21";"abv";5;NA;1;NA;NA;1;1;21;2015
"2016-05-23";"2016_21";"abv";4;NA;1;NA;NA;1;1;21;2016
"2007-05-28";"2007_22";"abv";NA;NA;1;NA;NA;1;1;22;2007
"2008-05-26";"2008_22";"abv";NA;NA;1;NA;NA;1;1;22;2008
"2009-05-25";"2009_22";"abv";NA;NA;1;NA;NA;1;1;22;2009
"2010-05-31";"2010_22";"abv";4;NA;1;NA;NA;1;1;22;2010
"2011-05-30";"2011_22";"abv";3;NA;1;NA;NA;1;1;22;2011
"2012-05-28";"2012_22";"abv";7;NA;1;NA;NA;1;1;22;2012
"2013-05-27";"2013_22";"abv";0;NA;1;NA;NA;1;1;22;2013
"2014-05-26";"2014_22";"abv";2;NA;1;NA;NA;1;1;22;2014
"2015-05-25";"2015_22";"abv";NA;NA;1;NA;NA;1;1;22;2015
"2016-05-30";"2016_22";"abv";5;NA;1;NA;NA;1;1;22;2016
"2007-06-04";"2007_23";"abv";NA;NA;1;NA;NA;1;1;23;2007
"2008-06-02";"2008_23";"abv";NA;NA;1;NA;NA;1;1;23;2008
"2009-06-01";"2009_23";"abv";7;NA;1;NA;NA;1;1;23;2009
"2010-06-07";"2010_23";"abv";6;NA;1;NA;NA;1;1;23;2010
"2011-06-06";"2011_23";"abv";6;NA;1;NA;NA;1;1;23;2011
"2012-06-04";"2012_23";"abv";4;NA;1;NA;NA;1;1;23;2012
"2013-06-03";"2013_23";"abv";0;NA;1;NA;NA;1;1;23;2013
"2014-06-02";"2014_23";"abv";1;NA;1;NA;NA;1;1;23;2014
"2015-06-01";"2015_23";"abv";3;NA;1;NA;NA;1;1;23;2015
"2016-06-06";"2016_23";"abv";4;NA;1;NA;NA;1;1;23;2016
"2007-06-11";"2007_24";"abv";NA;NA;1;NA;NA;1;1;24;2007
"2008-06-09";"2008_24";"abv";NA;NA;1;NA;NA;1;1;24;2008
"2009-06-08";"2009_24";"abv";7;NA;1;NA;NA;1;1;24;2009
"2010-06-14";"2010_24";"abv";NA;NA;1;NA;NA;1;1;24;2010
"2011-06-13";"2011_24";"abv";4;NA;1;NA;NA;1;1;24;2011
"2012-06-11";"2012_24";"abv";6;NA;1;NA;NA;1;1;24;2012
"2013-06-10";"2013_24";"abv";3;NA;1;NA;NA;1;1;24;2013
"2014-06-09";"2014_24";"abv";2;NA;1;NA;NA;1;1;24;2014
"2015-06-08";"2015_24";"abv";3;NA;1;NA;NA;1;1;24;2015
"2016-06-13";"2016_24";"abv";NA;NA;1;NA;NA;1;1;24;2016
"2007-06-18";"2007_25";"abv";NA;NA;1;NA;NA;1;1;25;2007
"2008-06-16";"2008_25";"abv";NA;NA;1;NA;NA;1;1;25;2008
"2009-06-15";"2009_25";"abv";4;NA;1;NA;NA;1;1;25;2009
"2010-06-21";"2010_25";"abv";3;NA;1;NA;NA;1;1;25;2010
"2011-06-20";"2011_25";"abv";0;NA;1;NA;NA;1;1;25;2011
"2012-06-18";"2012_25";"abv";8;NA;1;NA;NA;1;1;25;2012
"2013-06-17";"2013_25";"abv";7;NA;1;NA;NA;1;1;25;2013
"2014-06-16";"2014_25";"abv";1;NA;1;NA;NA;1;1;25;2014
"2015-06-15";"2015_25";"abv";NA;NA;1;NA;NA;1;1;25;2015
"2016-06-20";"2016_25";"abv";0;NA;1;NA;NA;1;1;25;2016
"2007-06-25";"2007_26";"abv";NA;NA;1;NA;NA;1;1;26;2007
"2008-06-23";"2008_26";"abv";NA;NA;1;NA;NA;1;1;26;2008
"2009-06-22";"2009_26";"abv";0;NA;1;NA;NA;1;1;26;2009
"2010-06-28";"2010_26";"abv";2;NA;1;NA;NA;1;1;26;2010
"2011-06-27";"2011_26";"abv";4;NA;1;NA;NA;1;1;26;2011
"2012-06-25";"2012_26";"abv";1;NA;1;NA;NA;1;1;26;2012
"2013-06-24";"2013_26";"abv";0;NA;1;NA;NA;1;1;26;2013
"2014-06-23";"2014_26";"abv";NA;NA;1;NA;NA;1;1;26;2014
"2015-06-22";"2015_26";"abv";NA;NA;1;NA;NA;1;1;26;2015
"2016-06-27";"2016_26";"abv";3;NA;1;NA;NA;1;1;26;2016
"2007-07-02";"2007_27";"abv";NA;NA;1;NA;NA;1;1;27;2007
"2008-06-30";"2008_27";"abv";NA;NA;1;NA;NA;1;1;27;2008
"2009-06-29";"2009_27";"abv";0;NA;1;NA;NA;1;1;27;2009
"2010-07-05";"2010_27";"abv";0;NA;1;NA;NA;1;1;27;2010
"2011-07-04";"2011_27";"abv";4;NA;1;NA;NA;1;1;27;2011
"2012-07-02";"2012_27";"abv";9;NA;1;NA;NA;1;1;27;2012
"2013-07-01";"2013_27";"abv";NA;NA;1;NA;NA;1;1;27;2013
"2014-06-30";"2014_27";"abv";NA;NA;1;NA;NA;1;1;27;2014
"2015-06-29";"2015_27";"abv";4;NA;1;NA;NA;1;1;27;2015
"2016-07-04";"2016_27";"abv";3;NA;1;NA;NA;1;1;27;2016
"2007-07-09";"2007_28";"abv";NA;NA;1;NA;NA;1;1;28;2007
"2008-07-07";"2008_28";"abv";NA;NA;1;NA;NA;1;1;28;2008
"2009-07-06";"2009_28";"abv";4;NA;1;NA;NA;1;1;28;2009
"2010-07-12";"2010_28";"abv";2;NA;1;NA;NA;1;1;28;2010
"2011-07-11";"2011_28";"abv";2;NA;1;NA;NA;1;1;28;2011
"2012-07-09";"2012_28";"abv";7;NA;1;NA;NA;1;1;28;2012
"2013-07-08";"2013_28";"abv";3;NA;1;NA;NA;1;1;28;2013
"2014-07-07";"2014_28";"abv";0;NA;1;NA;NA;1;1;28;2014
"2015-07-06";"2015_28";"abv";1;NA;1;NA;NA;1;1;28;2015
"2016-07-11";"2016_28";"abv";1;NA;1;NA;NA;1;1;28;2016
"2007-07-16";"2007_29";"abv";NA;NA;1;NA;NA;1;1;29;2007
"2008-07-14";"2008_29";"abv";NA;NA;1;NA;NA;1;1;29;2008
"2009-07-13";"2009_29";"abv";0;NA;1;NA;NA;1;1;29;2009
"2010-07-19";"2010_29";"abv";1;NA;1;NA;NA;1;1;29;2010
"2011-07-18";"2011_29";"abv";2;NA;1;NA;NA;1;1;29;2011
"2012-07-16";"2012_29";"abv";2;NA;1;NA;NA;1;1;29;2012
"2013-07-15";"2013_29";"abv";2;NA;1;NA;NA;1;1;29;2013
"2014-07-14";"2014_29";"abv";0;NA;1;NA;NA;1;1;29;2014
"2015-07-13";"2015_29";"abv";4;NA;1;NA;NA;1;1;29;2015
"2016-07-18";"2016_29";"abv";NA;NA;1;NA;NA;1;1;29;2016
"2007-07-23";"2007_30";"abv";NA;NA;1;NA;NA;1;1;30;2007
"2008-07-21";"2008_30";"abv";NA;NA;1;NA;NA;1;1;30;2008
"2009-07-20";"2009_30";"abv";2;NA;1;NA;NA;1;1;30;2009
"2010-07-26";"2010_30";"abv";2;NA;1;NA;NA;1;1;30;2010
"2011-07-25";"2011_30";"abv";3;NA;1;NA;NA;1;1;30;2011
"2012-07-23";"2012_30";"abv";5;NA;1;NA;NA;1;1;30;2012
"2013-07-22";"2013_30";"abv";NA;NA;1;NA;NA;1;1;30;2013
"2014-07-21";"2014_30";"abv";0;NA;1;NA;NA;1;1;30;2014
"2015-07-20";"2015_30";"abv";1;NA;1;NA;NA;1;1;30;2015
"2007-07-30";"2007_31";"abv";NA;NA;1;NA;NA;1;1;31;2007
"2008-07-28";"2008_31";"abv";NA;NA;1;NA;NA;1;1;31;2008
"2009-07-27";"2009_31";"abv";2;NA;1;NA;NA;1;1;31;2009
"2010-08-02";"2010_31";"abv";2;NA;1;NA;NA;1;1;31;2010
"2011-08-01";"2011_31";"abv";2;NA;1;NA;NA;1;1;31;2011
"2012-07-30";"2012_31";"abv";1;NA;1;NA;NA;1;1;31;2012
"2013-07-29";"2013_31";"abv";NA;NA;1;NA;NA;1;1;31;2013
"2014-07-28";"2014_31";"abv";NA;NA;1;NA;NA;1;1;31;2014
"2015-07-27";"2015_31";"abv";0;NA;1;NA;NA;1;1;31;2015
"2007-08-06";"2007_32";"abv";NA;NA;1;NA;NA;1;1;32;2007
"2008-08-04";"2008_32";"abv";NA;NA;1;NA;NA;1;1;32;2008
"2009-08-03";"2009_32";"abv";1;NA;1;NA;NA;1;1;32;2009
"2010-08-09";"2010_32";"abv";4;NA;1;NA;NA;1;1;32;2010
"2011-08-08";"2011_32";"abv";1;NA;1;NA;NA;1;1;32;2011
"2012-08-06";"2012_32";"abv";2;NA;1;NA;NA;1;1;32;2012
"2013-08-05";"2013_32";"abv";NA;NA;1;NA;NA;1;1;32;2013
"2014-08-04";"2014_32";"abv";0;NA;1;NA;NA;1;1;32;2014
"2015-08-03";"2015_32";"abv";0;NA;1;NA;NA;1;1;32;2015
"2007-08-13";"2007_33";"abv";NA;NA;1;NA;NA;1;1;33;2007
"2008-08-11";"2008_33";"abv";NA;NA;1;NA;NA;1;1;33;2008
"2009-08-10";"2009_33";"abv";2;NA;1;NA;NA;1;1;33;2009
"2010-08-16";"2010_33";"abv";2;NA;1;NA;NA;1;1;33;2010
"2011-08-15";"2011_33";"abv";0;NA;1;NA;NA;1;1;33;2011
"2012-08-13";"2012_33";"abv";4;NA;1;NA;NA;1;1;33;2012
"2013-08-12";"2013_33";"abv";NA;NA;1;NA;NA;1;1;33;2013
"2014-08-11";"2014_33";"abv";2;NA;1;NA;NA;1;1;33;2014
"2015-08-10";"2015_33";"abv";1;NA;1;NA;NA;1;1;33;2015
"2007-08-20";"2007_34";"abv";NA;NA;1;NA;NA;1;1;34;2007
"2008-08-18";"2008_34";"abv";NA;NA;1;NA;NA;1;1;34;2008
"2009-08-17";"2009_34";"abv";2;NA;1;NA;NA;1;1;34;2009
"2010-08-23";"2010_34";"abv";3;NA;1;NA;NA;1;1;34;2010
"2011-08-22";"2011_34";"abv";2;NA;1;NA;NA;1;1;34;2011
"2012-08-20";"2012_34";"abv";0;NA;1;NA;NA;1;1;34;2012
"2013-08-19";"2013_34";"abv";NA;NA;1;NA;NA;1;1;34;2013
"2014-08-18";"2014_34";"abv";1;NA;1;NA;NA;1;1;34;2014
"2015-08-17";"2015_34";"abv";0;NA;1;NA;NA;1;1;34;2015
"2007-08-27";"2007_35";"abv";NA;NA;1;NA;NA;1;1;35;2007
"2008-08-25";"2008_35";"abv";NA;NA;1;NA;NA;1;1;35;2008
"2009-08-24";"2009_35";"abv";1;NA;1;NA;NA;1;1;35;2009
"2010-08-30";"2010_35";"abv";3;NA;1;NA;NA;1;1;35;2010
"2011-08-29";"2011_35";"abv";2;NA;1;NA;NA;1;1;35;2011
"2012-08-27";"2012_35";"abv";6;NA;1;NA;NA;1;1;35;2012
"2013-08-26";"2013_35";"abv";NA;NA;1;NA;NA;1;1;35;2013
"2014-08-25";"2014_35";"abv";NA;NA;1;NA;NA;1;1;35;2014
"2015-08-24";"2015_35";"abv";0;NA;1;NA;NA;1;1;35;2015
"2007-09-03";"2007_36";"abv";NA;NA;1;NA;NA;1;1;36;2007
"2008-09-01";"2008_36";"abv";NA;NA;1;NA;NA;1;1;36;2008
"2009-08-31";"2009_36";"abv";6;NA;1;NA;NA;1;1;36;2009
"2010-09-06";"2010_36";"abv";1;NA;1;NA;NA;1;1;36;2010
"2011-09-05";"2011_36";"abv";1;NA;1;NA;NA;1;1;36;2011
"2012-09-03";"2012_36";"abv";2;NA;1;NA;NA;1;1;36;2012
"2013-09-02";"2013_36";"abv";NA;NA;1;NA;NA;1;1;36;2013
"2014-09-01";"2014_36";"abv";NA;NA;1;NA;NA;1;1;36;2014
"2015-08-31";"2015_36";"abv";0;NA;1;NA;NA;1;1;36;2015
"2007-09-10";"2007_37";"abv";NA;NA;1;NA;NA;1;1;37;2007
"2008-09-08";"2008_37";"abv";NA;NA;1;NA;NA;1;1;37;2008
"2009-09-07";"2009_37";"abv";1;NA;1;NA;NA;1;1;37;2009
