code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_47,16755,0,0,10,,1,0,3,12,31,0,0,13,4,0,1,0,1,13,1,0,0,1,5,8,0,3,1,0,0,2,0,,0,0,10,8,6,43,4,0,0,0,0,16,0,17,7,0,0,0,5,0,0,0
2015_46,16748,0,0,5,0,1,0,0,12,23,0,0,17,9,0,9,0,0,23,0,0,2,0,1,8,2,2,0,0,0,1,0,,0,10,8,4,8,46,0,0,0,0,1,7,0,16,9,0,0,0,6,5,0,0
2015_45,16741,0,0,2,6,1,0,0,0,37,0,0,3,6,0,0,0,0,29,1,27,3,0,1,55,6,3,1,0,0,1,0,0,0,8,11,5,2,36,1,0,0,0,1,9,0,16,9,0,0,0,2,3,0,0
2015_44,16734,0,0,4,5,1,0,1,4,45,0,0,4,1,0,0,0,1,9,0,48,0,2,3,12,3,3,1,0,0,1,0,0,0,9,7,4,2,1,5,0,0,0,0,16,0,14,7,1,0,0,0,4,0,0
2015_43,16727,0,0,1,0,1,0,0,8,46,0,1,11,2,0,0,0,0,13,3,25,1,1,0,25,2,7,2,0,0,3,0,2,0,8,8,2,3,20,2,1,0,0,,12,0,21,13,0,0,0,3,3,0,1
2015_42,16720,0,0,0,0,0,0,0,9,41,0,2,7,4,0,0,0,0,0,2,13,0,1,0,6,1,3,0,0,0,1,0,0,2,5,4,7,6,13,5,0,0,0,,9,0,6,22,0,0,0,0,4,1,0
2015_41,16713,0,0,1,0,0,0,0,13,0,0,2,8,1,0,1,0,0,6,5,21,,4,2,29,0,3,5,0,0,0,0,0,0,6,9,1,4,13,6,0,1,0,,5,0,12,16,0,,0,5,1,0,1
2015_40,16706,0,0,1,2,0,0,,6,14,0,0,7,2,0,0,0,0,4,2,22,,0,0,36,1,6,4,0,0,3,0,0,0,10,2,0,0,13,3,1,1,0,,11,0,9,7,0,0,0,3,3,0,1
2015_39,16699,0,0,0,0,0,0,,1,33,0,4,17,2,0,1,0,0,1,0,18,,0,3,11,0,2,1,0,0,1,0,0,0,5,4,0,3,9,1,2,1,0,0,11,0,14,9,0,0,0,6,0,0,0
2015_38,16692,0,0,2,1,0,0,,4,10,0,1,13,2,0,1,0,0,0,4,14,,1,0,6,1,0,3,0,0,0,0,0,0,6,0,0,1,16,4,3,0,0,0,7,0,8,5,1,0,0,1,2,0,2
