code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_46,16748,5,1,12,1,0,1,0,29,7,4,0,29,2,14,24,1,5,11,4,7,5,5,2,24,2,10,10,5,2,4,9,,2,9,13,16,8,16,2,35,4,2,10,9,2,19,2,6,10,1,8,6,1,6
2015_45,16741,3,2,4,1,0,0,0,13,5,2,0,15,1,10,14,4,2,6,2,11,3,6,2,25,3,7,0,5,2,2,3,3,2,4,22,28,8,8,3,17,8,0,3,13,2,20,1,4,4,2,10,3,0,4
2015_44,16734,5,2,5,1,0,0,0,25,11,2,5,18,1,16,23,6,9,10,1,21,4,2,1,22,1,8,1,4,4,8,0,8,4,8,5,20,8,2,6,22,3,1,2,15,1,18,1,2,3,0,3,5,7,6
2015_43,16727,3,0,13,1,0,0,4,12,13,2,18,22,8,12,16,5,4,12,3,7,2,2,3,27,4,14,5,7,4,1,3,5,1,2,7,26,2,4,2,30,4,5,,10,3,17,5,4,6,1,9,8,3,2
2015_42,16720,4,4,7,2,0,0,4,9,16,4,20,22,6,10,19,6,2,2,1,6,5,5,1,43,1,13,3,5,0,3,3,3,2,2,6,29,1,2,5,28,4,4,,9,0,10,0,0,4,5,1,3,2,4
2015_41,16713,7,0,5,3,0,0,1,17,8,3,9,24,6,13,15,11,3,15,2,10,,3,5,28,2,7,3,7,0,4,1,7,1,1,6,18,3,15,6,31,5,3,,10,2,11,3,3,,2,4,4,4,3
2015_40,16706,6,0,1,3,0,0,,12,10,0,8,32,2,13,17,5,4,15,5,7,,0,2,35,2,15,3,10,0,3,5,12,2,5,8,6,1,2,9,26,2,3,,5,0,14,2,4,7,2,9,5,0,2
2015_39,16699,3,0,4,6,0,0,,10,0,0,5,43,4,7,28,13,4,18,1,6,,4,3,43,2,23,6,5,1,0,3,2,2,0,13,6,3,2,5,14,4,3,1,8,0,12,3,3,3,0,11,0,4,1
2015_38,16692,5,0,5,4,0,0,,10,4,3,17,16,6,4,21,9,2,2,3,10,,5,1,25,1,16,2,2,1,3,2,3,1,0,10,6,1,4,4,20,1,2,1,7,0,8,3,1,0,1,2,5,0,1
2015_37,16685,4,1,3,1,0,0,2,11,13,1,13,31,4,7,19,2,6,20,2,14,,1,1,26,0,9,4,3,0,3,6,3,0,2,11,18,5,8,6,29,3,1,2,14,0,16,5,1,6,0,7,0,0,0
2015_36,16678,6,0,3,4,0,0,1,8,4,2,8,43,8,5,30,10,4,13,3,13,,1,0,22,1,16,5,5,3,2,6,10,2,6,10,6,5,9,3,21,3,0,3,14,0,9,6,2,13,0,11,2,0,1
2015_35,16671,9,0,2,3,0,0,2,12,6,4,6,47,6,7,20,2,3,11,2,16,,6,2,29,2,9,3,3,1,2,1,8,1,3,8,5,3,10,4,25,7,0,3,5,5,9,4,4,7,0,6,4,0,5
2015_34,16664,1,0,5,0,0,0,3,8,3,2,15,37,5,0,18,7,6,10,5,11,,0,1,14,1,11,3,5,1,3,7,11,1,4,8,1,4,7,1,23,3,0,5,16,2,13,3,7,7,0,4,0,0,1
2015_33,16657,8,1,3,5,0,0,2,4,0,0,14,24,0,3,13,5,1,6,5,12,,4,2,26,2,4,6,6,4,0,3,31,1,0,11,5,21,18,0,28,1,1,7,6,1,15,5,7,5,0,4,3,0,0
2015_32,16650,1,0,4,7,1,0,7,8,7,4,3,40,2,3,17,7,2,1,7,8,2,2,0,27,2,12,5,6,5,1,6,26,3,0,13,8,10,9,4,31,4,0,12,11,2,15,6,5,7,2,3,2,0,0
2015_31,16643,6,0,3,5,1,1,5,4,6,6,7,24,1,3,8,17,0,6,0,11,4,1,0,22,0,8,2,4,0,1,22,24,0,0,15,6,0,5,2,24,6,0,18,5,1,2,2,5,0,2,2,4,0,3
2015_30,16636,2,1,2,3,0,0,0,8,4,0,3,34,5,3,9,0,10,3,0,8,0,0,0,7,0,2,0,0,0,1,7,0,0,0,3,4,0,1,0,10,0,0,7,6,0,2,2,0,0,0,8,5,0,0
2015_29,16629,,4,4,2,0,,,11,3,,7,15,15,11,9,,,5,3,13,,0,1,24,,7,4,1,,1,21,,,0,11,4,2,5,,28,,2,,7,2,6,4,,,,11,,,
2015_28,16622,,1,13,4,0,,,17,6,,5,18,8,5,20,,,9,4,22,,1,0,15,,10,3,5,,0,13,,,1,18,4,1,18,,20,,2,,9,0,16,6,,,,6,,,
2015_27,16615,,4,18,4,0,,,12,4,,2,17,12,4,19,,,10,,54,,2,3,28,,19,5,9,,4,22,,,0,11,2,2,30,,19,,1,,13,0,18,7,,,,3,,,
2015_26,16608,,,8,1,0,,,6,10,,3,7,8,4,11,,,3,,16,,1,0,13,,6,6,1,,2,7,,,,8,0,1,38,,12,,1,,15,0,7,5,,,,6,,,
