code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2011_12,15054,,3,3,5,11,,,40,27,,7,7,,11,25,,,,1,26,,15,10,54,,23,21,15,,11,11,,,,51,17,6,26,,7,,0,,25,7,19,29,,,,0,,,
2011_11,15047,,2,5,3,12,,,40,16,,7,16,,11,18,,,,6,43,,11,14,42,,18,32,15,,17,9,,,,42,26,10,41,,0,,0,,9,20,10,21,,,,1,,,
2011_10,15040,,1,4,5,5,,,52,9,,5,3,,7,24,,,,2,21,,12,16,37,,11,25,11,,22,10,,,,25,10,11,52,,9,,4,,18,14,6,40,,,,3,,,
2011_09,15033,,2,4,2,3,,,38,10,,7,20,,18,47,,,,6,36,,3,10,59,,19,24,10,,25,21,,,,65,10,21,53,,10,,2,,19,20,6,52,,,,3,,,
2011_08,15026,,3,6,4,3,,,47,19,,3,35,,10,46,,,,1,43,,10,4,63,,19,19,13,,14,22,,,,48,21,7,48,,17,,3,,25,20,15,50,,,,0,,,
2011_07,15019,,3,7,16,0,,,39,13,,5,9,,6,51,,,,4,24,,7,6,30,,9,13,11,,14,19,,,,43,14,11,43,,38,,1,,14,15,14,43,,,,0,,,
2011_06,15012,,3,15,5,2,,,29,13,,5,41,,3,60,,,,10,30,,8,19,66,,14,38,27,,15,34,,,,44,10,20,60,,25,,6,,16,11,15,72,,,,1,,,
2011_05,15005,,1,4,14,3,,,24,8,,5,18,,8,85,,,,8,56,,7,16,65,,26,18,25,,10,10,,,,57,12,34,108,,4,,3,,29,16,23,75,,,,0,,,
2011_04,14998,,5,3,17,1,,,27,7,,4,25,,15,41,,,,2,59,,2,26,62,,20,13,17,,9,5,,,,58,7,22,164,,30,,4,,59,15,23,84,,,,0,,,
2011_03,14991,,6,1,19,3,,,27,12,,5,24,,0,44,,,,2,48,,5,30,97,,45,32,23,,11,17,,,,51,12,49,173,,68,,4,,25,20,24,87,,,,0,,,
2011_02,14984,,8,3,6,2,,,23,10,,4,34,,5,39,,,,0,42,,2,22,86,,26,26,19,,5,13,,,,39,14,32,122,,73,,5,,23,13,26,84,,,,0,,,
2011_01,14977,,3,8,20,1,,,12,9,,2,25,,3,54,,,,3,53,,2,25,76,,8,34,27,,21,6,,,,51,9,24,106,,34,,0,,31,7,24,68,,,,1,,,
2010_52,14970,,2,5,15,2,,,15,9,,1,11,,0,85,,,,2,52,,2,16,98,,0,35,25,,11,6,,,,42,16,12,91,,31,,1,,24,13,28,44,,,,2,,,
2010_51,14963,,2,7,27,3,,,11,11,,2,11,,3,84,,,,2,26,,2,14,56,,0,40,20,,13,19,,,,42,16,12,67,,24,,1,,28,7,30,24,,,,0,,,
2010_50,14956,,1,12,15,0,,,13,28,,3,17,,2,93,,,,5,29,,0,14,49,,3,39,34,,16,15,,,,46,9,15,91,,24,,3,,17,10,17,58,,,,1,,,
2010_49,14949,,,8,9,1,,,11,14,,7,21,,3,68,,,,5,31,,1,2,38,,12,25,20,,8,18,,,,40,4,11,64,,17,,5,,21,1,5,74,,,,1,,,
2010_48,14942,,,9,11,2,,,20,0,,3,18,,4,48,,,,7,27,,5,5,55,,10,39,11,,14,28,,,,38,9,29,36,,24,,0,,22,10,8,71,,,,0,,,
2010_47,14935,,2,6,5,8,,,12,0,,6,17,,13,34,,,,6,22,,2,15,37,,20,28,26,,10,50,,,,34,18,21,45,,22,,0,,20,10,25,115,,,,0,,,
2010_46,14928,,0,7,3,2,,,10,0,,4,5,,5,20,,,,4,24,,4,20,48,,20,15,20,,7,3,,,,26,5,18,55,,17,,1,,21,11,9,84,,,,0,,,
2010_45,14921,,3,6,0,4,,,4,19,,6,12,,10,17,,,,1,21,,5,4,53,,2,31,28,,8,8,,,,30,13,14,68,,9,,2,,41,8,33,72,,,,0,,,
2010_44,14914,,1,4,3,2,,,4,13,,3,0,,1,14,,,,0,22,,4,0,49,,12,27,19,,13,0,,,,34,3,6,55,,8,,4,,14,4,23,49,,,,0,,,
2010_43,14907,,0,10,0,5,,,8,52,,7,8,,4,46,,,,3,0,,3,17,76,,24,28,21,,10,0,,,,48,10,16,48,,13,,3,,10,5,16,16,,,,0,,,
2010_42,14900,,2,6,1,3,,,22,17,,4,25,,5,40,,,,0,16,,4,16,52,,9,30,29,,13,9,,,,36,9,21,37,,14,,2,,16,8,22,52,,,,0,,,
2010_41,14893,,2,6,4,4,,,16,20,,4,22,,11,39,,,,8,13,,2,15,36,,14,23,0,,13,8,,,,28,9,18,32,,17,,0,,38,3,22,61,,,,3,,,
2010_40,14886,,3,6,0,1,,,11,,,5,16,,4,20,,,,6,8,,1,7,45,,17,23,22,,4,10,,,,37,11,22,32,,16,,2,,29,8,12,55,,,,1,,,
2010_39,14879,,6,6,1,0,,,7,,,8,16,,6,21,,,,1,11,,1,11,36,,21,11,26,,6,11,,,,42,5,12,44,,21,,1,,19,7,8,52,,,,1,,,
2010_38,14872,,6,4,5,1,,,15,,,6,28,,13,24,,,,1,14,,0,9,64,,17,18,42,,4,10,,,,20,3,25,39,,22,,2,,18,5,18,58,,,,1,,,
2010_37,14865,,3,3,7,2,,,27,,,10,24,,10,26,,,,4,6,,0,7,61,,18,24,22,,5,0,,,,26,6,12,30,,13,,1,,19,9,15,42,,,,1,,,
2010_36,14858,,2,2,5,4,,,31,,,7,36,,11,25,,,,2,7,,5,3,46,,10,18,23,,2,0,,,,21,8,14,32,,18,,1,,12,1,7,36,,,,3,,,
2010_35,14851,,7,0,7,0,,,6,,,4,10,,6,25,,,,1,7,,1,4,64,,11,16,21,,5,2,,,,30,4,13,45,,12,,0,,27,6,20,14,,,,1,,,
2010_34,14844,,4,4,3,2,,,7,,,7,,,8,21,,,,1,20,,1,1,74,,16,18,24,,4,2,,,,19,,6,45,,3,,0,,25,4,18,13,,,,5,,,
2010_33,14837,,0,1,2,1,,,4,,,4,11,,7,30,,,,1,8,,0,13,69,,9,12,20,,4,0,,,,19,,8,38,,32,,9,,25,4,15,25,,,,2,,,
2010_32,14830,,3,0,16,2,,,7,,,3,,,4,38,,,,0,6,,4,6,67,,10,21,18,,2,7,,,,16,,10,26,,17,,,,20,3,14,22,,,,2,,,
2010_31,14823,,2,2,16,0,,,3,,,0,,,6,15,,,,3,13,,3,6,65,,16,14,15,,2,1,,,,25,,5,23,,37,,0,,15,7,15,46,,,,3,,,
2010_30,14816,,8,1,16,0,,,7,,,4,22,,2,19,,,,2,12,,0,6,61,,11,7,20,,3,1,,,,20,,17,28,,23,,3,,31,4,12,36,,,,1,,,
2010_29,14809,,6,5,10,,,,11,,,2,30,,1,29,,,,2,16,,1,9,56,,12,14,9,,3,2,,,,22,,17,23,,15,,0,,12,8,12,31,,,,5,,,
2010_28,14802,,4,0,14,,,,12,,,2,3,,4,29,,,,1,20,,2,4,65,,8,9,25,,3,4,,,,24,,,41,,19,,,,30,5,10,36,,,,0,,,
2010_27,14795,,1,0,11,,,,5,,,2,,,1,24,,,,1,16,,0,6,63,,14,18,22,,6,7,,,,19,,,78,,22,,0,,22,4,21,46,,,,2,,,
2010_26,14788,,1,0,12,,,,8,,,4,,,10,28,,,,0,16,,2,2,77,,24,18,22,,4,2,,,,34,,,69,,15,,0,,21,7,15,63,,,,1,,,
2010_25,14781,,4,0,27,,,,13,,,3,,,3,12,,,,1,10,,1,6,71,,8,12,40,,4,12,,,,30,,,59,,7,,,,21,3,15,44,,,,2,,,
