"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_31";"2016-08-01";2;2;8;3;2;0;1;12;30;0;0;0;5;6;5;0;3;8;2;3;0;5;4;5;0;2;2;8;5;0;3;1;0;4;9;7;10;23;2;6;0;2;8;0;1;9;17;0;3;0;7;0;2;1
"2016_30";"2016-07-25";2;3;2;5;2;0;1;12;1;4;0;12;0;8;24;2;0;3;1;9;0;0;11;20;0;2;7;0;3;0;7;5;0;5;5;5;11;31;0;2;1;3;5;4;0;7;4;1;2;0;6;4;2;0
"2016_29";"2016-07-18";0;2;1;1;0;0;3;11;5;5;2;3;6;3;5;1;2;19;1;1;0;2;7;16;2;10;8;13;2;1;0;0;1;12;0;7;1;34;2;6;0;0;0;1;3;0;8;0;4;2;0;0;1;1
"2016_28";"2016-07-11";1;6;1;3;2;0;3;13;10;4;0;4;6;0;6;0;1;16;2;11;0;6;13;2;2;5;5;4;0;6;8;0;0;3;2;0;7;2;5;0;3;4;2;12;6;6;4;1;4;0;4;3;2;1
"2016_27";"2016-07-04";0;0;0;1;2;0;2;9;1;2;1;0;6;3;22;0;2;14;1;5;0;2;13;19;2;5;1;11;4;2;0;2;0;15;15;4;8;39;0;10;2;4;1;7;6;9;11;0;2;1;5;0;1;1
"2016_26";"2016-06-27";0;0;8;0;1;0;1;10;21;1;3;5;6;7;23;2;2;7;3;9;0;6;4;11;2;10;2;8;5;4;7;0;1;17;12;7;5;24;3;7;1;4;7;0;7;7;17;0;2;0;0;4;2;1
"2016_25";"2016-06-20";2;6;8;2;0;0;1;1;24;3;2;15;3;10;23;1;1;14;0;13;0;2;4;12;2;6;0;14;0;3;4;6;0;11;14;6;13;17;0;4;0;2;1;11;5;2;12;1;0;0;1;2;1;1
"2016_24";"2016-06-13";0;3;1;2;2;0;0;3;34;2;2;10;1;9;20;1;2;8;1;14;0;4;4;30;2;6;7;11;5;4;6;6;0;15;13;0;3;0;1;9;3;1;2;3;4;1;12;1;2;2;7;0;1;0
"2016_23";"2016-06-06";2;4;0;5;1;0;1;0;34;4;1;8;0;0;27;1;2;12;1;10;0;1;3;14;0;6;5;8;2;6;6;1;1;18;11;5;2;7;1;10;1;2;2;3;2;3;13;0;4;1;7;1;1;0
"2016_22";"2016-05-30";0;7;8;1;0;0;1;6;15;4;4;2;3;9;29;0;0;13;0;8;0;6;13;23;0;9;7;11;3;6;1;2;1;7;0;9;7;2;2;0;3;3;5;13;3;8;13;0;1;0;3;1;1;1
"2016_21";"2016-05-23";0;7;0;0;2;0;0;0;13;3;2;13;0;1;14;1;1;19;1;11;0;3;8;19;0;1;4;12;2;3;2;8;1;17;5;3;3;37;5;2;1;2;8;11;3;6;8;1;3;1;6;3;2;0
"2016_20";"2016-05-16";1;2;8;0;1;0;0;8;13;0;0;15;1;4;19;1;2;9;2;14;0;5;2;15;0;7;7;14;0;0;6;7;1;2;11;4;5;39;3;7;2;1;6;13;7;0;2;0;2;1;2;1;0;0
"2016_19";"2016-05-09";2;7;5;5;1;0;0;6;9;5;3;13;0;7;26;1;3;10;1;11;0;0;7;18;1;4;7;7;5;3;7;6;1;12;16;2;10;11;3;10;1;1;2;2;4;8;5;1;1;0;6;4;0;1
"2016_18";"2016-05-02";0;1;4;5;0;0;3;10;1;0;1;12;5;4;8;1;3;6;1;6;0;2;3;27;1;4;8;4;3;5;1;1;1;15;6;0;6;4;1;3;1;1;1;9;1;8;12;0;4;0;3;2;2;0
"2016_17";"2016-04-25";2;6;6;4;1;0;0;1;1;0;4;3;7;10;22;0;1;15;3;7;0;5;5;28;0;3;5;2;3;6;7;1;1;13;17;6;7;28;3;6;2;4;1;9;3;6;2;1;2;0;3;4;0;0
"2016_16";"2016-04-18";1;0;2;5;1;0;2;11;17;1;1;14;2;2;1;1;1;13;1;7;0;4;2;26;0;4;7;13;2;5;9;7;0;15;12;0;5;13;4;1;2;0;3;0;5;8;15;0;0;0;6;4;2;1
"2016_15";"2016-04-11";0;4;5;5;0;0;0;9;4;4;2;4;6;1;9;1;0;11;0;11;0;3;11;2;1;9;1;1;2;4;2;8;0;1;11;2;13;27;2;6;2;4;3;7;4;0;10;1;3;2;3;0;2;0
