"deb_sem";"abv";"abz";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"dri";"ejd";"far";"fns";"iho";"mae";"mdv";"mhj";"mia";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2007-07-16";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-07-23";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-07-30";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-08-06";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-08-13";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-08-20";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-08-27";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-09-03";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-09-10";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-09-17";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-09-24";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-10-01";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-10-08";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-10-15";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-10-22";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-10-29";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-11-05";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-11-12";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-11-19";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-11-26";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2007-12-03";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
