"semaine";"debut";"abk";"abv";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"ejd";"far";"fia";"iho";"mae";"mdv";"mhj";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2012_52";2012-12-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
"2013_01";2012-12-31;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;2;NA;NA;1;NA
"2013_02";2013-01-07;1;NA;NA;NA;2;NA;1;NA;NA;3;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;2;NA;NA;1;NA;NA;5;NA;NA;NA;NA
"2013_03";2013-01-14;NA;NA;NA;NA;3;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;1
"2013_04";2013-01-21;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;NA;3
"2013_05";2013-01-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2013_06";2013-02-04;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
"2013_07";2013-02-11;NA;NA;NA;NA;3;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;5;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;NA;5
"2013_08";2013-02-18;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2
"2013_09";2013-02-25;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;8
"2013_10";2013-03-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;2
"2013_11";2013-03-11;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1
"2013_12";2013-03-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;2
"2013_13";2013-03-25;NA;NA;NA;NA;3;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;3
"2013_14";2013-04-01;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"2013_15";2013-04-08;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
"2013_16";2013-04-15;NA;NA;NA;NA;2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2;NA;NA;1;NA;NA;2;NA;NA;2;NA;NA;NA;3
"2013_17";2013-04-22;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2013_18";2013-04-29;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2013_19";2013-05-06;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2013_20";2013-05-13;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
"2013_21";2013-05-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2013_22";2013-05-27;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2
"2013_23";2013-06-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;4
"2013_24";2013-06-10;NA;NA;NA;NA;5;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;1;NA;NA;NA;4
"2013_25";2013-06-17;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1
"2013_26";2013-06-24;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
"2013_27";2013-07-01;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;1
"2013_28";2013-07-08;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2013_29";2013-07-15;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2013_30";2013-07-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"2013_31";2013-07-29;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1
"2013_32";2013-08-05;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1
"2013_33";2013-08-12;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;4
"2013_34";2013-08-19;NA;NA;NA;NA;3;NA;4;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;4;1
"2013_35";2013-08-26;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;2
"2013_36";2013-09-02;NA;NA;NA;NA;5;NA;4;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4
"2013_37";2013-09-09;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;NA;NA;5;2
"2013_38";2013-09-16;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;7
