"semaine";"debut";"abk";"abv";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"ejd";"far";"fia";"iho";"mae";"mdv";"mhj";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2014_40";2014-09-29;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2014_41";2014-10-06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;3;1
"2014_42";2014-10-13;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;5
"2014_43";2014-10-20;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;8
"2014_44";2014-10-27;NA;NA;NA;NA;2;NA;4;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2014_45";2014-11-03;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;2;NA;NA;NA;NA;1;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;5
"2014_46";2014-11-10;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;7
"2014_47";2014-11-17;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1
"2014_48";2014-11-24;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;NA;NA;NA;NA;NA;3;NA;1;NA;NA;NA;1;8
"2014_49";2014-12-01;NA;NA;NA;NA;5;NA;5;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;16
"2014_50";2014-12-08;NA;NA;1;NA;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;2;7
"2014_51";2014-12-15;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;4;15
"2014_52";2014-12-22;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;3;NA;NA;NA;NA;NA;1;2
"2015_01";2014-12-29;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2015_02";2015-01-05;NA;NA;1;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;3;5
"2015_03";2015-01-12;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;6
"2015_04";2015-01-19;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;NA;NA;1;NA;NA;1;NA;NA;3;NA;NA;2;13
"2015_05";2015-01-26;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
"2015_06";2015-02-02;NA;NA;NA;NA;5;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;6;NA
"2015_07";2015-02-09;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;6;NA;NA;1;NA;NA;3;NA;NA;NA;NA
"2015_08";2015-02-16;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;2;NA;NA;3;NA;NA;5;NA;NA;NA;NA;NA;7;4
"2015_09";2015-02-23;NA;NA;NA;NA;1;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;4;NA;NA;1;NA;NA;NA;NA;NA;5;3
"2015_10";2015-03-02;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;5;1;NA;NA;3;NA;NA;4;NA;NA;NA;NA;NA;3;4
"2015_11";2015-03-09;NA;NA;NA;NA;3;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;1;6
"2015_12";2015-03-16;NA;NA;NA;NA;4;NA;2;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;4;NA;NA;5;NA;NA;NA;3
"2015_13";2015-03-23;NA;NA;NA;NA;4;NA;2;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;3;NA;NA;4;NA;NA;NA;4
"2015_14";2015-03-30;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;NA;NA;NA;NA;NA;3;NA;NA;2;NA;NA;2;5
"2015_15";2015-04-06;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;5;NA;NA;2;2
"2015_16";2015-04-13;NA;NA;NA;NA;5;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;4;NA;NA;5;NA;NA;2;3
"2015_17";2015-04-20;NA;NA;1;NA;1;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;5;3
"2015_18";2015-04-27;NA;NA;NA;NA;2;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA
"2015_19";2015-05-04;NA;NA;NA;NA;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;5;NA;NA;2;NA;NA;2;NA
"2015_20";2015-05-11;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA
"2015_21";2015-05-18;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;1
"2015_22";2015-05-25;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5
"2015_23";2015-06-01;NA;NA;NA;NA;2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;2;1;NA;NA;2;NA;NA;4;NA;NA;3;NA;NA;2;4
"2015_24";2015-06-08;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
"2015_25";2015-06-15;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;1;NA;NA;4;NA;NA;NA;NA;NA;2;3
"2015_26";2015-06-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;4;1
"2015_27";2015-06-29;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;6
"2015_28";2015-07-06;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;4;5
"2015_29";2015-07-13;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;4
"2015_30";2015-07-20;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
"2015_31";2015-07-27;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;2
"2015_32";2015-08-03;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;2;2
"2015_33";2015-08-10;NA;NA;1;NA;2;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5
"2015_34";2015-08-17;NA;NA;1;NA;6;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;2;NA;NA;1;NA;NA;5;NA;NA;NA;NA;NA;1;3
"2015_35";2015-08-24;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;5;NA;NA;5;NA;NA;NA;2
"2015_36";2015-08-31;NA;NA;NA;NA;4;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;5;NA;NA;2;NA;NA;2;2
"2015_37";2015-09-07;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;1
"2015_38";2015-09-14;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;2;1
"2015_39";2015-09-21;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;6
"2015_40";2015-09-28;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;3
"2015_41";2015-10-05;NA;NA;NA;NA;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;1;4
"2015_42";2015-10-12;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;NA
"2015_43";2015-10-19;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2;2
"2015_44";2015-10-26;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2;NA
"2015_45";2015-11-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;3;NA;NA;1;2
"2015_46";2015-11-09;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;6;NA;NA;3;NA;NA;NA;6
"2015_47";2015-11-16;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;1;4
"2015_48";2015-11-23;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;4
"2015_49";2015-11-30;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;8;NA;NA;NA;NA;NA;1;NA
"2015_50";2015-12-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3
"2015_51";2015-12-14;NA;NA;NA;NA;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2
"2015_52";2015-12-21;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;8
"2015_53";2015-12-28;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;1
"2016_01";2016-01-04;NA;NA;NA;NA;4;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;2;1
"2016_02";2016-01-11;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
"2016_03";2016-01-18;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1
"2016_04";2016-01-25;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
"2016_05";2016-02-01;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
"2016_06";2016-02-08;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
"2016_07";2016-02-15;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;12
"2016_08";2016-02-22;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
"2016_09";2016-02-29;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;3
"2016_10";2016-03-07;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;4
"2016_11";2016-03-14;NA;NA;NA;NA;10;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;2
"2016_12";2016-03-21;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA
"2016_13";2016-03-28;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;2;4
"2016_14";2016-04-04;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;2
"2016_15";2016-04-11;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;3
"2016_16";2016-04-18;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;2;5
"2016_17";2016-04-25;NA;NA;NA;NA;4;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
"2016_18";2016-05-02;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
"2016_19";2016-05-09;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
"2016_20";2016-05-16;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
"2016_21";2016-05-23;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3
"2016_22";2016-05-30;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"2016_23";2016-06-06;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;1
"2016_24";2016-06-13;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
"2016_25";2016-06-20;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
"2016_26";2016-06-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2
"2016_28";2016-07-11;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
