"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_31";"2016-08-01";1;0;5;0;0;0;0;4;4;0;3;0;3;2;66;2;0;0;0;22;3;0;7;29;0;10;1;1;0;4;89;0;0;1;4;3;0;7;0;8;0;2;0;12;1;5;17;0;0;0;1;1;0;0
"2016_30";"2016-07-25";0;2;0;4;2;0;0;4;7;0;2;4;3;0;20;1;0;1;2;20;1;0;0;21;0;5;6;3;1;2;113;2;0;1;7;0;1;15;0;13;0;1;0;3;0;0;74;0;0;0;0;1;0;0
"2016_29";"2016-07-18";0;2;2;4;0;0;0;4;9;0;3;1;1;5;30;0;0;0;1;1;1;0;5;38;0;9;3;2;1;3;112;0;0;1;11;8;2;1;0;2;0;1;0;8;2;8;36;0;0;0;1;1;0;0
"2016_28";"2016-07-11";1;1;5;0;1;0;0;3;1;0;3;5;4;1;13;0;0;1;3;30;0;1;0;24;0;6;3;1;1;1;13;0;0;0;1;2;1;10;0;2;0;3;0;9;1;9;90;1;0;0;0;1;1;0
"2016_27";"2016-07-04";0;1;1;1;1;0;0;5;10;1;1;5;4;0;89;0;0;1;1;34;2;1;3;3;0;6;12;2;0;2;98;0;0;1;6;3;0;6;1;13;0;4;0;10;0;2;6;1;0;0;0;1;1;0
"2016_26";"2016-06-27";1;1;5;3;1;0;0;0;1;0;2;5;0;8;79;0;0;1;3;15;0;2;1;27;0;1;8;3;0;0;104;2;0;1;6;6;0;0;0;3;0;0;0;4;0;6;63;1;0;0;1;2;1;0
"2016_25";"2016-06-20";0;0;5;5;0;0;0;3;5;0;3;0;4;6;96;0;0;1;2;31;1;2;5;3;0;6;9;3;0;1;93;2;0;0;5;2;2;12;0;5;0;5;0;4;4;10;11;0;0;0;2;1;1;0
"2016_24";"2016-06-13";0;1;1;5;0;0;0;0;5;0;3;5;1;2;21;1;0;1;0;0;0;0;4;27;0;17;3;3;0;2;99;0;0;1;1;8;3;9;0;8;0;0;0;2;4;1;5;1;0;0;2;0;0;0
"2016_23";"2016-06-06";1;1;0;1;2;0;0;3;5;1;0;5;2;0;5;1;0;1;3;16;2;2;4;5;0;12;9;1;0;3;139;2;0;0;3;3;2;2;0;13;0;1;0;3;4;6;32;0;0;0;0;1;0;0
"2016_22";"2016-05-30";1;0;1;3;1;0;0;3;0;0;3;3;0;3;11;0;0;1;2;9;1;2;7;23;0;7;7;2;0;0;5;2;0;0;12;6;0;11;0;11;0;2;0;4;2;6;93;1;0;0;2;1;0;0
"2016_21";"2016-05-23";0;2;0;3;1;0;0;0;9;0;3;2;4;8;2;1;0;0;2;38;3;0;3;3;0;16;7;1;1;2;69;1;0;1;3;8;0;2;0;11;0;1;0;9;0;8;2;0;0;0;1;2;0;0
"2016_20";"2016-05-16";1;1;4;0;1;0;0;3;6;0;0;1;0;2;88;2;0;0;1;4;0;0;3;35;0;15;8;2;0;2;104;1;0;0;8;2;2;3;0;1;0;3;0;2;3;10;35;0;0;0;2;0;0;0
"2016_19";"2016-05-09";1;0;5;1;0;0;0;0;2;1;2;0;0;1;73;0;0;1;3;9;1;1;3;38;0;16;7;0;0;1;4;1;0;1;2;4;0;16;0;14;0;4;0;9;1;3;69;0;0;0;0;1;1;0
"2016_18";"2016-05-02";0;2;1;4;1;0;0;1;10;0;3;0;1;8;65;1;0;0;0;35;2;0;5;11;0;16;1;3;1;0;63;2;0;1;13;2;1;16;0;13;0;4;0;8;3;9;95;0;0;0;1;1;0;0
"2016_17";"2016-04-25";1;1;1;5;0;0;0;3;7;0;1;3;4;2;61;1;0;1;3;16;1;2;1;31;0;4;0;3;0;0;3;1;0;0;9;7;1;7;0;13;0;4;0;11;0;6;6;1;0;0;0;0;0;0
"2016_16";"2016-04-18";1;2;2;0;0;0;0;0;1;0;3;5;2;5;62;1;0;0;1;32;3;0;1;13;0;10;1;1;0;4;112;0;0;1;3;7;2;10;1;13;0;1;0;1;0;10;15;0;0;0;2;2;0;0
"2016_15";"2016-04-11";1;0;4;2;2;0;0;5;0;0;0;4;0;6;61;2;0;0;2;22;2;2;3;12;0;9;3;1;0;1;96;1;0;0;5;6;1;1;1;5;0;4;0;7;0;10;84;1;0;0;2;2;0;0
"2016_14";"2016-04-04";0;1;2;4;1;0;0;4;8;0;2;4;3;1;0;0;0;0;1;3;1;1;0;34;0;14;7;1;0;3;78;1;0;1;8;2;0;7;0;4;0;4;0;5;1;1;84;1;0;0;2;1;1;0
"2016_13";"2016-03-28";1;2;2;1;2;0;0;4;9;0;2;3;4;4;60;1;0;0;3;13;1;0;2;9;0;14;9;3;0;1;87;1;0;1;5;6;1;10;0;9;0;3;0;10;3;6;56;1;0;0;1;2;1;0
"2016_12";"2016-03-21";1;0;2;2;2;0;0;0;3;0;0;0;0;7;18;1;0;1;3;10;1;2;5;16;0;8;1;2;0;1;53;2;0;1;0;8;0;0;1;14;0;5;0;3;4;9;101;1;0;0;2;1;1;0
"2016_11";"2016-03-14";0;1;2;6;2;0;0;1;10;0;2;5;2;3;47;0;0;1;1;28;1;0;5;5;0;17;6;0;1;3;39;0;0;0;1;0;2;8;1;9;0;2;0;1;4;6;77;1;0;0;1;0;1;0
"2016_10";"2016-03-07";1;0;4;6;0;0;0;1;7;1;0;2;4;8;48;2;0;1;0;28;1;2;3;20;0;7;7;0;1;2;130;2;0;1;6;3;3;6;1;0;0;1;0;2;2;5;30;0;0;0;0;2;1;0
"2016_09";"2016-02-29";1;2;3;3;1;0;0;3;3;1;2;4;4;4;49;2;0;0;0;38;3;0;0;2;0;4;5;1;0;1;90;1;0;1;13;1;0;0;1;6;0;0;0;9;1;2;4;0;0;0;2;0;0;0
"2016_08";"2016-02-22";0;1;1;3;2;0;0;4;8;0;1;2;1;8;49;0;0;0;1;30;1;1;0;1;0;3;12;0;0;0;6;0;0;1;11;1;3;12;1;7;0;1;0;0;3;4;79;0;0;0;2;1;1;0
"2016_07";"2016-02-15";0;0;0;3;2;0;0;4;10;1;2;1;0;2;55;1;0;0;2;24;1;0;3;20;0;16;10;2;1;3;81;1;0;0;1;6;3;13;0;4;0;2;0;4;1;1;86;0;0;0;0;0;1;0
"2016_06";"2016-02-08";1;0;1;0;1;0;0;0;6;0;0;3;3;5;56;1;0;0;2;33;2;2;8;30;0;15;0;0;0;3;69;1;0;0;8;5;0;0;1;7;0;0;0;8;2;1;19;0;0;0;2;0;1;0
"2016_05";"2016-02-01";0;2;1;1;2;0;0;0;10;0;0;1;1;1;23;1;0;1;2;8;1;2;5;12;0;0;2;1;0;4;52;0;0;0;10;2;3;2;1;11;0;5;0;12;2;6;60;0;0;0;1;1;0;0
"2016_04";"2016-01-25";0;1;3;5;2;0;0;1;4;1;1;3;1;3;65;1;0;0;2;9;1;1;4;7;0;14;8;2;0;4;97;1;0;1;4;0;2;14;0;14;0;0;0;3;1;2;42;0;0;0;0;2;1;0
"2016_03";"2016-01-18";0;2;3;5;1;0;0;2;7;1;3;5;0;0;14;0;0;0;0;18;0;2;6;7;0;11;12;2;1;3;52;0;0;1;8;0;1;6;1;0;0;3;0;5;4;7;63;1;0;0;2;2;0;0
"2016_02";"2016-01-11";0;0;0;3;2;0;0;1;8;1;3;0;3;2;68;2;0;0;1;26;0;0;7;14;0;15;10;2;0;2;97;2;0;1;9;3;2;7;1;9;0;5;0;12;4;3;19;1;0;0;2;0;0;0
"2016_01";"2016-01-04";1;1;4;5;2;0;0;2;6;0;1;2;1;4;38;2;0;0;2;1;1;1;3;15;0;7;0;1;0;3;128;1;0;1;6;1;0;9;1;6;0;3;0;0;4;8;73;1;0;0;1;0;0;0
"2015_53";"2015-12-28";0;2;3;0;0;0;0;3;2;0;3;3;0;6;93;0;0;0;1;37;2;2;7;34;0;16;2;2;1;0;74;2;0;0;6;1;3;0;0;8;0;2;0;6;2;9;21;0;0;0;2;2;0;0
"2015_52";"2015-12-21";0;0;2;6;0;0;0;1;10;1;1;1;1;4;82;1;0;0;0;22;0;0;6;15;0;17;2;3;1;2;53;0;0;0;0;0;1;16;1;9;0;3;0;5;0;10;99;0;0;0;2;2;1;0
"2015_51";"2015-12-14";0;0;0;0;2;0;0;4;9;0;3;3;2;4;56;0;0;1;2;12;0;1;2;20;0;3;3;2;0;0;58;2;0;1;5;1;2;11;0;0;0;4;0;7;4;4;6;1;0;0;2;1;1;0
"2015_50";"2015-12-07";0;2;3;6;1;0;0;5;2;0;3;4;4;7;54;0;0;1;0;37;0;2;7;12;0;16;9;1;1;1;114;0;0;1;11;1;0;4;1;9;0;1;0;11;4;1;10;1;0;0;1;2;0;0
"2015_49";"2015-11-30";0;1;0;5;1;0;0;0;8;0;0;1;1;1;12;2;0;0;1;1;2;2;1;4;0;6;7;1;1;3;135;0;0;1;7;3;1;6;0;14;0;5;0;11;2;5;85;0;0;0;1;1;0;0
"2015_48";"2015-11-23";1;2;4;0;0;0;0;2;8;0;0;1;2;7;2;1;0;1;1;41;1;1;4;9;0;10;0;0;1;3;100;2;0;0;2;2;0;9;0;14;0;2;0;6;3;0;96;1;0;0;2;2;1;0
"2015_47";"2015-11-16";0;1;1;1;2;0;0;2;3;1;2;0;4;3;87;1;0;1;2;30;1;1;0;1;0;8;9;1;1;2;88;0;0;1;11;3;2;0;0;10;0;5;0;4;0;10;32;1;0;0;2;1;0;0
"2015_46";"2015-11-09";0;2;0;2;0;0;0;3;8;1;1;1;3;0;4;1;0;1;1;10;2;1;8;5;0;1;9;1;0;3;57;2;0;0;9;4;2;6;0;9;0;5;0;10;2;2;101;0;0;0;2;2;0;0
"2015_45";"2015-11-02";0;1;0;3;2;0;0;4;5;1;3;0;1;0;18;2;0;0;2;9;2;0;2;20;0;3;12;3;1;1;76;1;0;1;6;1;0;0;1;4;0;5;0;6;2;2;36;1;0;0;1;1;0;0
"2015_44";"2015-10-26";0;2;1;6;2;0;0;0;4;1;2;0;4;7;65;1;0;1;2;17;2;1;8;2;0;9;1;2;1;4;129;2;0;1;8;6;3;13;1;14;0;2;0;5;0;9;63;1;0;0;2;2;0;0
"2015_43";"2015-10-19";1;1;2;4;1;0;0;1;2;0;3;1;0;2;29;0;0;0;1;1;0;0;6;27;0;9;10;1;0;3;130;0;0;1;12;4;1;2;1;4;0;4;0;5;4;9;26;1;0;0;2;2;0;0
"2015_42";"2015-10-12";0;1;1;0;0;0;0;3;4;0;1;0;4;6;73;1;0;1;0;33;1;1;4;38;0;14;0;0;0;4;137;2;0;0;2;3;0;7;1;12;0;3;0;2;0;9;60;1;0;0;1;2;0;0
"2015_41";"2015-10-05";1;2;1;4;0;0;0;1;1;1;1;0;3;0;12;1;0;1;0;36;3;1;5;29;0;17;4;1;0;4;65;2;0;1;2;2;3;15;0;9;0;0;0;6;2;8;3;1;0;0;1;2;0;0
"2015_40";"2015-09-28";0;0;3;4;2;0;0;2;1;0;1;1;2;8;12;0;0;1;1;17;2;2;5;17;0;7;2;2;0;4;142;2;0;1;0;5;2;11;1;9;0;2;0;5;2;3;45;1;0;0;2;2;1;0
"2015_39";"2015-09-21";0;1;1;6;2;0;0;1;0;1;2;4;2;1;88;2;0;1;1;8;3;2;7;10;0;0;8;2;1;3;60;0;0;0;4;4;2;9;1;14;0;0;0;7;1;7;33;0;0;0;2;2;1;0
"2015_38";"2015-09-14";1;1;2;0;0;0;0;2;10;0;2;0;4;6;47;2;0;0;2;4;2;2;0;14;0;1;9;1;1;2;27;0;0;0;2;8;2;9;1;5;0;2;0;5;1;9;23;0;0;0;2;0;0;0
"2015_37";"2015-09-07";1;0;0;0;1;0;0;4;4;1;2;3;4;5;83;2;0;1;3;3;0;1;3;2;0;17;12;0;0;0;47;0;0;1;9;7;2;9;0;9;0;3;0;0;1;10;68;1;0;0;1;1;1;0
"2015_36";"2015-08-31";1;2;0;4;1;0;0;5;5;0;3;3;1;1;15;1;0;0;0;30;3;1;0;15;0;17;7;3;0;2;66;2;0;1;9;4;2;6;1;2;0;3;0;8;1;3;91;1;0;0;0;0;1;0
"2015_35";"2015-08-24";1;1;5;0;0;0;0;2;2;1;3;5;0;2;53;0;0;0;0;23;0;1;6;32;0;13;7;0;0;0;66;0;0;1;1;3;3;7;1;8;0;5;0;7;3;10;98;1;0;0;0;1;1;0
"2015_34";"2015-08-17";1;1;2;4;0;0;0;0;9;1;2;5;0;3;14;2;0;1;1;9;2;2;8;35;0;15;1;2;1;2;131;2;0;0;7;8;2;15;1;13;0;0;0;7;3;6;96;1;0;0;2;1;1;0
"2015_33";"2015-08-10";1;2;2;5;2;0;0;4;1;0;0;4;3;8;75;0;0;1;3;4;1;2;4;18;0;3;2;1;1;3;136;2;0;0;10;2;0;12;0;9;0;4;0;9;0;1;7;0;0;0;1;1;1;0
"2015_32";"2015-08-03";1;1;4;4;1;0;0;3;10;0;1;1;0;2;38;1;0;1;3;7;1;2;3;27;0;1;12;0;0;1;37;1;0;1;13;4;2;4;0;5;0;2;0;0;2;6;9;1;0;0;1;2;1;0
"2015_31";"2015-07-27";1;2;5;1;2;0;0;5;4;0;1;5;3;4;33;1;0;1;0;42;0;2;0;17;0;3;0;1;1;3;71;2;0;1;4;3;2;0;0;7;0;1;0;11;1;0;48;1;0;0;0;2;1;0
"2015_30";"2015-07-20";0;2;2;6;1;0;0;4;2;1;3;2;3;8;60;0;0;1;3;22;0;1;1;4;0;3;12;2;1;0;19;2;0;0;3;0;3;3;1;6;0;2;0;4;0;10;31;0;0;0;0;2;1;0
"2015_29";"2015-07-13";1;2;5;2;0;0;0;3;4;0;0;5;3;6;55;0;0;0;0;15;0;0;4;13;0;9;11;2;0;2;68;1;0;0;7;6;0;3;0;6;0;1;0;6;3;0;58;0;0;0;0;0;0;0
"2015_28";"2015-07-06";1;0;5;3;2;0;0;4;9;1;1;1;0;1;4;1;0;0;3;10;0;0;2;28;0;15;7;3;1;2;57;0;0;1;4;2;3;15;1;7;0;5;0;5;2;3;79;0;0;0;0;1;0;0
"2015_27";"2015-06-29";0;1;1;0;2;0;0;3;8;1;2;3;1;3;28;0;0;0;0;5;3;0;5;15;0;2;12;2;1;2;7;0;0;0;4;2;0;5;1;11;0;5;0;2;3;0;38;1;0;0;2;1;0;0
"2015_26";"2015-06-22";1;1;3;0;2;0;0;2;6;1;1;4;2;3;23;1;0;0;2;3;2;1;5;38;0;3;0;2;1;4;58;1;0;1;7;3;0;11;0;8;0;5;0;3;1;7;0;0;0;0;2;2;0;0
"2015_25";"2015-06-15";0;1;1;0;0;0;0;3;1;0;1;1;1;4;56;2;0;1;1;33;1;0;8;0;0;6;5;0;1;0;127;0;0;1;5;8;1;7;0;9;0;2;0;10;2;1;47;1;0;0;0;1;1;0
"2015_24";"2015-06-08";1;1;2;4;1;0;0;2;1;1;0;2;2;5;83;0;0;1;2;23;1;2;8;9;0;6;1;0;1;1;78;1;0;0;6;4;2;0;0;6;0;1;0;12;1;5;79;1;0;0;1;1;1;0
"2015_23";"2015-06-01";1;2;3;5;2;0;0;2;8;0;0;0;2;7;59;1;0;0;2;22;2;2;6;10;0;14;12;3;0;0;54;0;0;0;8;1;2;6;0;10;0;4;0;11;3;4;21;0;0;0;2;0;1;0
"2015_22";"2015-05-25";0;1;4;0;0;0;0;3;7;0;1;5;1;4;86;2;0;0;1;8;1;2;5;30;0;0;11;3;1;1;68;0;0;1;0;2;2;2;1;9;0;3;0;5;0;1;86;1;0;0;0;0;1;0
"2015_21";"2015-05-18";0;2;1;6;2;0;0;0;5;1;3;5;4;7;64;0;0;1;2;32;3;0;6;0;0;6;8;3;1;2;59;2;0;0;12;5;3;16;0;1;0;4;0;7;3;1;5;1;0;0;0;1;1;0
"2015_20";"2015-05-11";1;1;4;5;1;0;0;1;6;0;3;4;0;6;82;2;0;1;3;15;2;2;8;28;0;16;12;2;0;1;93;1;0;1;7;8;2;15;1;0;0;0;0;2;0;10;69;0;0;0;2;2;1;0
"2015_19";"2015-05-04";1;2;2;5;2;0;0;1;0;0;0;5;2;8;69;1;0;1;3;5;0;1;2;14;0;10;10;1;0;0;62;0;0;0;7;6;3;11;0;5;0;1;0;5;4;10;54;0;0;0;0;1;1;0
"2015_18";"2015-04-27";0;0;3;5;1;0;0;2;4;1;1;5;3;6;54;1;0;0;0;27;1;1;7;15;0;15;1;2;1;0;106;2;0;1;5;4;3;15;0;3;0;4;0;6;4;0;11;0;0;0;0;2;1;0
"2015_17";"2015-04-20";0;0;3;4;1;0;0;3;6;0;1;5;0;2;25;1;0;1;0;24;3;0;2;7;0;9;12;2;0;0;119;2;0;1;3;1;0;2;0;4;0;1;0;2;3;1;97;1;0;0;0;2;1;0
"2015_16";"2015-04-13";0;2;0;0;1;0;0;5;9;1;3;4;4;2;73;1;0;1;3;30;3;2;2;13;0;4;9;3;1;2;17;2;0;1;4;1;0;12;0;1;0;2;0;10;1;3;103;0;0;0;1;0;0;0
"2015_15";"2015-04-06";1;2;4;6;1;0;0;3;3;1;2;0;1;3;39;0;0;0;1;9;2;2;6;12;0;17;4;3;0;3;14;1;0;1;13;6;0;14;1;3;0;4;0;4;1;0;87;1;0;0;2;0;0;0
"2015_14";"2015-03-30";1;1;0;6;2;0;0;3;2;0;0;4;0;4;91;2;0;1;3;34;2;0;0;16;0;1;10;1;0;1;55;1;0;1;2;4;1;14;1;11;0;5;0;3;4;2;52;1;0;0;2;0;1;0
"2015_13";"2015-03-23";1;1;4;4;0;0;0;0;6;0;2;5;4;7;68;0;0;0;3;20;3;1;4;10;0;16;1;1;0;0;85;1;0;0;2;7;3;2;0;12;0;2;0;4;0;1;36;0;0;0;0;1;0;0
"2015_12";"2015-03-16";1;2;5;0;0;0;0;0;4;0;2;3;1;1;65;1;0;1;0;15;0;1;3;10;0;11;4;2;0;1;52;0;0;0;3;1;2;6;1;7;0;1;0;10;1;8;69;1;0;0;2;0;0;0
"2015_11";"2015-03-09";1;1;1;5;0;0;0;4;10;0;0;4;2;6;63;1;0;0;2;27;2;1;8;5;0;11;7;0;0;1;27;1;0;0;0;5;2;15;1;5;0;5;0;4;1;2;82;1;0;0;0;1;0;0
"2015_10";"2015-03-02";1;1;1;1;2;0;0;0;4;1;3;4;2;1;37;0;0;0;3;30;1;0;3;30;0;13;0;2;1;4;86;2;0;0;9;6;3;16;1;7;0;0;0;2;3;10;3;1;0;0;2;2;1;0
"2015_09";"2015-02-23";1;2;0;0;1;0;0;1;8;1;0;2;2;5;81;0;0;1;1;41;2;2;0;16;0;17;8;1;1;1;70;1;0;0;10;5;1;11;1;1;0;4;0;4;3;10;58;1;0;0;0;1;1;0
"2015_08";"2015-02-16";0;1;2;4;0;0;0;1;3;0;0;3;1;6;32;0;0;0;0;32;1;0;4;28;0;15;0;2;1;1;142;1;0;1;9;4;0;9;0;13;0;2;0;2;0;1;67;1;0;0;0;2;1;0
"2015_07";"2015-02-09";1;1;1;5;0;0;0;4;7;0;2;5;1;3;82;1;0;1;1;33;0;1;6;31;0;12;2;1;1;4;57;1;0;1;12;1;3;6;0;13;0;2;0;3;1;0;62;0;0;0;0;0;1;0
"2015_06";"2015-02-02";0;1;1;0;0;0;0;3;9;1;3;1;0;8;65;1;0;0;1;37;0;2;3;25;0;4;11;0;0;3;119;1;0;0;12;8;3;13;1;3;0;0;0;11;4;1;45;0;0;0;1;2;1;0
"2015_05";"2015-01-26";0;1;1;1;1;0;0;2;10;0;1;0;1;6;20;0;0;0;0;42;2;1;1;14;0;13;0;3;0;0;94;2;0;0;1;7;1;4;1;3;0;5;0;1;0;3;53;1;0;0;0;1;1;0
"2015_04";"2015-01-19";1;1;2;5;0;0;0;5;9;1;2;0;0;6;57;2;0;1;2;41;3;0;5;7;0;15;1;2;1;2;10;1;0;0;12;6;2;14;1;3;0;0;0;5;0;7;10;1;0;0;2;2;1;0
"2015_03";"2015-01-12";0;1;1;6;1;0;0;2;9;1;0;0;4;0;2;0;0;1;1;16;1;2;2;8;0;12;4;2;1;1;69;0;0;0;1;7;3;11;0;0;0;1;0;11;2;2;22;0;0;0;1;2;0;0
"2015_02";"2015-01-05";0;2;3;4;1;0;0;3;2;1;0;1;0;8;16;2;0;0;0;31;3;2;2;14;0;4;7;1;1;0;100;0;0;0;2;5;3;2;1;6;0;2;0;10;2;1;65;1;0;0;1;0;1;0
"2015_01";"2014-12-29";0;1;3;6;2;0;0;3;1;1;2;3;4;5;6;0;0;1;2;25;0;0;7;31;0;17;7;0;1;3;57;0;0;0;8;2;1;4;1;6;0;2;0;4;2;9;0;1;0;0;1;2;1;0
"2014_52";"2014-12-22";0;1;0;2;2;0;0;1;1;0;1;5;4;7;34;2;0;0;2;25;1;1;0;35;0;0;8;3;1;0;130;2;0;1;5;7;1;16;0;12;0;2;0;12;3;10;27;0;0;0;0;2;1;0
"2014_51";"2014-12-15";0;2;5;3;2;0;0;2;3;1;3;5;2;7;66;0;0;0;3;5;3;2;0;8;0;12;3;2;0;3;16;0;0;1;3;4;0;15;1;12;0;2;0;1;0;9;16;0;0;0;2;0;0;0
