"x"
"Ambatolahy"
"Ambatomiady"
"Amboanana"
"Ambodiriana"
"Ambohitompoina"
"Andranofito"
"Andranovelona"
"Andranovola"
"Antanambao"
"Antanimandry"
"Antsampandrano"
"Belanitra"
"Cda andohatapenaka"
"Csb2 ambalavato atb"
"Csb2 andalatanosy abv"
"Csb2 anjozorobe ajb"
"Csb2 ankily iho"
"Csb2 farafangana far"
"Csb2 mandritsara"
"Csb2 mdv"
"Csb2 sambava sbv"
"Csb2 tanambao die"
"Csb2 tanambao tlr"
"Csb2 tsararano mhj"
"Csb2 urbain ahh"
"Csb2 urbain mae"
"Csb2 urbain tdd"
"Csb2 vatovory bos"
"Csbu ambato boeny boe"
"Csbu ambatondrazaka abz"
"Csbu belo tsiribihina"
"Csbu maintirano mtn"
"Csbu mananjary mnj"
"Csbu maroantsetra mrt"
"Csbu miandrivazo mia"
"Csbu nosybe nsb"
"Csbu sainte marie stm"
"Csmi mrg"
"Csmi tsaralalana tsl"
"Du tanambao i toa"
"Manalalondo"
"Manandona"
"Manjakaray mjr"
"Morarano"
"Ostie behoririka bhk"
"Sabotsy namatoana"
"Salfa ejeda"
"Salfa ivory fns"
"Salfa tanandava mrb"
"Salfa tgr"
"Tsarahonenana"
"Tsimadilo"
"Vinanikarena"
